yorum,kategori
ürün az önce elime geçti.hiçbir şekilde içinde altın olduğunu tahmin edemedim acaba içi biş mu diye tereddüt ettim ama eve gelip açınca gördümki güzel ve dışardan anlaşılmayan bir paketlemesi var.tavsiye ederim,Olumsuzlama
fiyatı kalitesine göre pahalı.,Kısa Yorum
resimdeki görünümü kadar değil daha küçük ama iş görüyor.,Olumsuzlama
"ürün herşeyden önce kaliteli onu belirteyim. fakat biraz fazla küçük. oyuncak arabalara benziyor. bagaj, korna, telefon gibi aksesuarlarının olması güzel. fiyatına göre alınabilecek bir ürün. tavsiye derim.",Bağlamsal/Diğer
sonuç olarak;,Kısa Yorum
"fotoğrafta gözüktüğü gibi yoğun çimlenme olmadı,biraz fazla seyrek, umarım kedişimiz sever",Olumsuzlama
ürün güzel. pilleri saat pilinin biraz büyüğü. bittiği zaman bulunması zor olabilir. gümüşlüğünüzde her katına bir tane geceleri hoş oluyor. basit fakat güzel ürün.,Bağlamsal/Diğer
"yatarken ve kalkarkenki havası arasında epey fark oluyor, zaten rahatsız olan yatak daha da rahatsız hale geliyor.",Bağlamsal/Diğer
kargo da sıkıntı yok.,Olumsuzlama
"ürün dün elime ulaştı. plakaların büyüklüğü beni oldukça şaşırttı. 2,5 kg olan plakalar inanılmaz büyük ve kalın üç plaka yanyana takamazsınız bilginiz olsun. ayrıca plakaların üstleri yağlı yağlı. kısacası ürün biraz kaba onun dışında iş görür herhalde kullandıkça anlayacağız.",Bağlamsal/Diğer
"aman aman bir ürün değil, fotograftaki gibi desen belli olmuyor ve kumaşı biraz daha kalın bekliyordum. fiyatına göre kullanılabilecek bir ürün çok fazla da öldürmeyelim 18 tl verdik sonuçta, jelibon için de teşekkürler çok incesiniz bandanax ekibi ;)",Olumsuzlama
bu ürün yer sorunu olanlar için çok iyi. ancak kapasitesi çok büyük değil. ayrıca enerji harcaması biraz daha fazla. 40 cm çapında tepsi rahatlıkla içine sığıyor. servis eve geldiğinde kapısında ezik olduğunu söyledi ve kapısını değiştirdiler. biz farketmemiştik. alınabilecek bir ürün.,Olumsuzlama
oysa spigen ne de kaliteli bir markadır,Bağlamsal/Diğer
3-ürün fiyatıyla paralellik gösteriyor.beklentinizi cok karşılamayabilir ama bence yeterli.,Yazım Bozukluğu
2-takip cikarmasi sorun yaratmiyo saglam bi yapisi var biraz zorlarsaniz giris bolumleri yirtilabiliyo haberiniz olsun,Bağlamsal/Diğer
üçü birarada kahve bile daha iyidir.,Bağlamsal/Diğer
öncelikle ben makine mühendisiyim.,Kısa Yorum
oğlum 17 aylık ve sitede görüp beğendim özellik hakkında detay yok. 1 tane sipariş verdim 10 günde geldi ve çok küçük boyutları yeni doğan bebeklere göre bence,Olumsuzlama
urun guzel gorunuyor. fiyati da gayet ideal. acaba urunu tavsiye eden var mi.kullanipta tavsiye etmek isteyen varsa fikrini alabilir miyim.,Bağlamsal/Diğer
"arkadaşlar ürünü alacak arkadaşlar için öncelikle telefon rehberine kişi kaydedilmiyor google hesabi yada herhangi bir hesaba kaydedilebiliyo kisiler, kameradan cektiginiz resimleri google fotograflardaa gorebiliyosunuz galeri yok,şebeke üzerinden goruntulu konuşma yok skaype yada messenger den goruntulu konuşuluyo, ısınma sorunu da var bi saat oyun oynayin kışın elinizi ısıtır yani bilgilerinize kamerasi güzel ses iyi hızı iyi gerisi boş",Olumsuzlama
bi̇r çok ürün almıştım 6 taksit seçeneğinde kargo bedavaydı ancak fotokopi kağıdı olduğu için bu kampanya dışı olduğu için kargo bedelini tahsil ettiler. bunun dışında ürün gayet iti.,Bağlamsal/Diğer
olumsuz yanları biraz tiz ve yüksek bir sesi var.,Bağlamsal/Diğer
ürünü aldım bir kaç kez kullandım sonuç hep aynı oldu.mikrofiber bez sünger normal bez hepsiyle denedim ve uygulamadan kaynaklanan bişey olmadığını gördüm.uygulama öncesi ile sonrası arasında ince bir kokudan başka bişey göremedim ben.,Olumsuzlama
"çocuklar için saat olarak kullanılabilir ,",Bağlamsal/Diğer
"merhabalar hızlı gönderi ve ürünün orjinal olması nedeni ile tşkler,",Bağlamsal/Diğer
kullandıktan sonra araçta tekleme yaşadım ama bir süre sonra geçti,Bağlamsal/Diğer
"üst sepetin aralıkları çok geniş. öyle ki, büyük boy (ajda) çay bardağı bile aralıklardan rahatça düşebiliyor.",Bağlamsal/Diğer
puanım ağız bakım suyu için ( 0 ) makine ve macun için ( 5 ) yıldız,Bağlamsal/Diğer
ürün siparişimden sonra ertesi gün elime ulaştı ürün güzel ancak iç tarafındaki kenarlara cila atılması gerekiyor. fiyatına göre bence ideal bir ürün.,Bağlamsal/Diğer
"5= uzun süre açık kaldığında soba gibi ısınıyor telefon,",Bağlamsal/Diğer
bende siparis verdim az önce geldi.kedimi balkona çıkarıp taradim ama tüyleri üzerine toplamiyor. kiyafetim ağzım gözüm tüy doldu.faydali bir ürün ama hertaraf battı tekrar denicem becerebilirim inşallah bu sefer,Bağlamsal/Diğer
ürünü 20/12/2013 te saat sabaha karşı 02:30 da şpariş ettim ve jet hızılıyla bir gün sonra elime ulaştı hepsiburadacom.mu bu konuda kutluyor ve teşekkürlerimi sunuyorum.,Yazım Bozukluğu
"tecrübelerimize göre sırf viskodan oluşan yatak, ergonomik değil. şimdi bu visko yatakların 10-15 cmlik şilteli olanlarını alıp yaylı yatağımıza sererek denemeyi düşünüyoruz. umarız bu şekilde viskonun konforuyla yayın desteğini kullanarak kaliteli ve rahat bir uyku uyuyabiliriz.",Olumsuzlama
ürünü henüz tam olarak incelemedim güzel görünuyor fakat beklediğimden çok küçük geldi bu yüzden satın alacakların ürünün ölçülerine dikkat etmelerini öneririm,Bağlamsal/Diğer
i̇ddia edildiği gibi her meyveyi bütün sıkamazsınız; çünkü meyve girişi kısmı küçük.,Bağlamsal/Diğer
ürün gayet kaba ve taş gibi ne geriye yatıyor ne bi rahatlık hissi veriyor. park bankına sünger sermiş gibi oturuyorsunuz. misafir koltuğu olarak iş görebilir ama çalışmak için tavsiye etmem zira bel ağrısı yapar bu uzun oturumlarda.,Bağlamsal/Diğer
eski bezim ömrünü tamamladığından araç kurulama bezi olarak almıştım. kurularken bezi defalarça sıkmak zorunda kalıyorum su emme kapasitesi iyi değil. bende artık wax uygulamasında ve temizliğinde kullanıyorum.,Olumsuzlama
3. cep telefonu için askı kollarına hazne yapılabilirdi.,Bağlamsal/Diğer
annem için aldım telefonu ideal anne telefonu tam istenildigi gibi arama ve sms,Bağlamsal/Diğer
ürün güzel görünüyor. yalnız boyu biraz uzun. kargo 3 günde geldi fakat ya bebek arabasının bi kullanma kılavuzu olmaz ya paketten çıkmadı.,Olumsuzlama
bantla yapıştırma değilde arkasında asma yeri olsa çok iidi.,Olumsuzlama
"cok yogun kullanmamama rağmen sarji 1 gunu tamamlamiyor 2300 mah batarya yetersiz kalmis,onun disindaki ozellikleri iyi.",Bağlamsal/Diğer
"bu kadar para verip telefon alan kişi zaten 1 bilemedin 2 senede bir sıkılıp telefon değiştiriyor. çok sağlam olsa ne yazar, kurşun geçirmez olsa ne yazar. bu süreye günümüz telefonlarının hepsi dayanıyor. xperia z0 dan beri aynı kibrit kutusundan esinlenilmiş odunsu tasarım.. donanım desen sanki uzaya çıkacaksın telefonla ne yapacaksın bu göz boyamaları. git 1000tl'ye xperia xa al hem daha ucuz hem de daha şık telefon. ama bu paralar verilecekse alınacak en güzel telefon s7 edge'dir bence.(note 7 sorunlu olmasaydı o olurdu) önceden xperia z5 premium kullanan biri olarak bunu bilir bunu söylerim.",Bağlamsal/Diğer
sünger olanlar daha iyi en azından rahatsız etmiyor,Bağlamsal/Diğer
ürün elime ulaştı. cidden harika ama kulaklık girişi olmayışı bir eksiktir. kulaklık var ama fm radyo yok.,Olumsuzlama
ürünü alalı 10 gün oldu ürün fena değil fiyat performans oranı iyi yalnız yüksekliği bana biraz az geldi bide malzeme kalitesi biraz daha iyi olsa daha iyi olurdu.,Olumsuzlama
20000 mah gerçeği yansıtmıyor. bu ixaomi değil bütün taşınabilir şarj aletleri için geçerli. ıphone 6 nın pili 1560mah. bu hesaba göre ıphone 6 yı 12 kez şarj etmesi gerek ama özelliklerinde 7 yazıyor. yani bu cihaz 20000 mah değil. 1tb diye aldığınız hdd yi bilgisayarın 920gb görmesi gibi bişey bu. buda badsector deniliyor. ama taşınabilir şarj aletlerinde çok fazla far yaratıyor 12 nerede 7 nerede yarısı kadar hemen hemen.,Olumsuzlama
"ürünü aldım. hevesle volte( hd görüşme) özelliğini aktif etmek istedim. ancak, ayarlarda tüm gördüğüm s6'larda olan gelişmiş arama seçeneklerinin olmadığını gördüm. gsm operatörünü aradım. süpri̇z!! telfon volte uyumlu değilmiş. araştırmalarım sonucunda birleşik arap emirliklerinden gelen telefonlarda bazı özelliklerin kapalı olabileceğini öğrendim. samsung tarafından yayınlanan başka bir resmi frimware yüklenincede sorunun düzelmeyeceğini öğrendim. bu sorun dışında ürün iyi takdirlerinize bırakıyorum.",Olumsuzlama
usb sayisi az,Kısa Yorum
kargo 2 günde geldi. ancak ürünün kendi ambalajı olmamasından kaynaklı tereddüt yaşadım. çünkü ambalajda üretim yılı yazmaktadır. amabalajı olmaması nedeniyle üreteim yılını öğrenemedim. burada 2016 yazıyor ancak nasıl inanabilirimki ? gelelim ürün kullanımına; tankımda 20 litre dizel yakıt vardı. 300 ml hepsini ekledim.sonuç değişen birşey hissetmedim. araç seat ibiza *2006. 125 bin km.,Olumsuzlama
ürünün güzel,Kısa Yorum
bilgisayara bağlayıp samsung kies den güncelleme yapmayın sakin !!! türkçe dil desteğini kaybedersiniz.,Bağlamsal/Diğer
ürün 2 gün içerisinde elime ulaştı hızlı kargo için teşekkürler fakat aynı şeyleri ürün için söyleyemeyeceğim.,Yazım Bozukluğu
daha önce farklı bir ürün kullanmıştım güzeldi fakat bunda istediğim gibi ayarlayamdım heryere dönmüyor.,Bağlamsal/Diğer
kullanışlı bir ürün fakat el yakmama konusunda yazılanlar pek doğru değil. küçük ateşte bile su çok kaynayınca kulpları el yakabiliyor.,Olumsuzlama
arkadaşlar parfümün kokusu güzel fakat kalıcılığı biraz sıkıntılı.parfümü sıktıktan 15 dakka sonra kokuyu hissedemiyorsunuz.sürekli sıkmanız lazım.kalıcılığı geliştirilmeli.fiyat cok başarılı bu arada.,Yazım Bozukluğu
i̇şi̇ bi̇tti̇ği̇nde di̇rek çöpe yani̇ kullan at yazici.,Bağlamsal/Diğer
oyunumu sipariş olarak cumartesi günü verdim hayla gelmedi,Bağlamsal/Diğer
bardağa çay koyarken çay parçaları da geliyor.,Bağlamsal/Diğer
ürün eli̇mi̇ze geçti̇ği̇nde baktik ki̇ kri̇stalleri̇ eksi̇k ama ürün hoş duruyor alinabi̇li̇r,Bağlamsal/Diğer
kitap bence isminden ve buradaki indirimden dolayı aldım.roman gibi değil ama idare eder,Olumsuzlama
"pozi̇ti̇f taraflari:ürün 2 gün i̇çi̇nde eli̇me geçti̇,1 saatte şarj oldu,pi̇li̇ li̇-i̇on,i̇lk şrjdan sonra 50 dak. çalişti,sakal kisaltma aparati düzgün kesi̇yor",Bağlamsal/Diğer
ürün çok güzel ama mobil veri telefonu kapatıp açmaya na kadar devreye girmiyor ikide bir telefonu kapatıp açmak zorunda kalıyorum,Bağlamsal/Diğer
blender çok rahatsız edici bir ses çıkarıyordu iade ettim diğer ekipmanların ses düzeyi gayet iyiydi.,Bağlamsal/Diğer
almayı düşünenleri uyarmak açısından söylüyorum.ürün açıklamasında 3g özelliğinin olmadığı yazıyor.her yönüyle harika olan bu ürün 3g özelliği olmadığından dolayı kaybediyor.,Olumsuzlama
arkadaşlar almayı düşünüpte kararsız kalan varsa tereddüt etmeden alabilir. ürün mükemmel ötesi birşey harika traş ediyor ve temizleme ünitesi süper çalışıyor.,Bağlamsal/Diğer
2-resimde görünen şekilde geliyor,Kısa Yorum
ürün için ise sahte olmamasını diliyorum.,Bağlamsal/Diğer
"mucize beklenmemesi gereken bir ürün, ama hiç bir faydası yok denemez. düzenli kullanıldığından en azından günde 1 fincan faydalı oluyor. tadıda gayet lezzetli öyle bitki çayları gibi itici değil, şekerli güzel bir lezzeti var.",Olumsuzlama
"- merdivenin üst kısmı çok tehlikeli, çocuk çok sert düşebilir. gözünüz sürekli üstünde olması lazım.",Bağlamsal/Diğer
3-urun ufak bi sey olmasina ragmen gereksiz pahali haberiniz olsun,Bağlamsal/Diğer
"dymo letratag etiket makinası kullanıyorsanız, doğal olarak bu orjial etiket çeşitlerini kullanacaksınız. yapışkanı çok kaliteli... tüm plastik renk çeşitlerini tullanıyorum. ancak; makinayla birlikte gelen beyaz kağıt şeriti çok sevdim.",Yazım Bozukluğu
ürünü bütün çekmeceler i̇çi̇n aldim. 2 ay çok rahat etmi̇şti̇m. artik oğluşum nasil açilacağini keşfetti̇. di̇şi̇yle çok güzel ucundan tutup açabi̇li̇yor.. keşke hemen açilan bi̇r ürün olmasaydi..,Bağlamsal/Diğer
"eğer kumaş kısımda yırtılma , açılma varsa hortum kullanılmaz hale geliyor.",Bağlamsal/Diğer
"ankastre fırın alanına uyabilecek normal fırın ölçüleri maalesef çok fazla olamadığından alana uyan bu ürünü aldık. fiyat uygun, gönderim hızlı.",Bağlamsal/Diğer
"prize yarım metre kala, makinaya 4 m uzakta bir yere taktim. çekimde bir fark göremedim maalesef. fakat kanal geçişleri hızlandı.nereye bağlanması gerektiği konusu önemli ise bilgi verilmeli.",Bağlamsal/Diğer
sephorada 2 kere denedim.inanın kalıcılığı o kadar kuvvetliki 15 günden fazla dolabımı her açışımda montum kokuyor ve ben bayılacak gibi oluyordum.şeker dozajını aşmış.arabada arkadaşım sıkmıştı ve midem başım felaket oldu.angel kullanıyorum o daha hoş,Bağlamsal/Diğer
fiyatı azalır diye beklerken artıyor...,Bağlamsal/Diğer
tostları yaparken sık sık kontrol etmek gerek. çünkü aniden pişiriyor ve dikkat etmezseniz tostlar yanıyor.,Bağlamsal/Diğer
"başka ürün sipariş verirken, bir de yedek şarj aleti alayım diye fazla incelemeden sepete dahil ettiğim bir üründü. sitedeki en orijinal görünen ürün de bu olduğu için tercih etmiştim. açıklamasında c ve a tipi usb şeklinde açıklama verilmiş, iki taraflı kullanılabilen diye ancak; note 5 e uymadı. dikkatli incelemek gerek ve herkesin anlayacağı terimler değil bunlar. o sebeple alırken açıklamasına dikkat edin. ama ürün kesinlikle orijinal.",Olumsuzlama
urun bugun elime ulasti.. oldukca kullanisli gorunuyor detaylari guzel ancak bana agir ve buyuk gibi geldi.. boyu uzun insanlar icin daha uygun bir araba. fiyata gore fena degil..,Bağlamsal/Diğer
bu lastikler ile 25000 km tecrübem oldu. ne yaz lastiği ne kış lastiği !,Bağlamsal/Diğer
arkadaşlar mrb ürün iyi ama,Bağlamsal/Diğer
"ürün öncelikle fiyatına göre iyi, çekişi güzel ancak sesi gerçekten çok fazla sanayi tipi süpürgeler kadar ses çıkartıyor maalesef, bunun haricinde gayet kullanışlı bir ürün.",Bağlamsal/Diğer
daha kaliteli ürünler tercih edilmedi.,Bağlamsal/Diğer
"ancak; alt sepetinin arka yarımı, açılıp kapanabilir değil; korkuluklar sabit olduğundan tencere vb. bulaşıkları koyamıyorsunuz.",Olumsuzlama
"koku birazcık agır gibi ama bu fiyat uygun bir fiyat bence, kaçırılmaması gerek.",Bağlamsal/Diğer
kamera cikintili olmus.bu nedenle cizilme riski yuksek.haricen iyi.alinabilir.,Bağlamsal/Diğer
sade ve şik ve i̇nce tasarimiyla di̇kkat çeki̇yor. fakat bu fi̇yata bu performans kiyaslanamaz.,Bağlamsal/Diğer
yumuşak malzeme. sert rüzgar kapıyı çarptığında parçalanıyor.,Bağlamsal/Diğer
"giriş seviyesi için gerçekten üstün özelliklere sahip bir makine. kullanmaktan zevk alınacak bir ürün, lensinin 18-105mm gibi açık aralıklı olması genel kullanım için uygun. bu tip makinelerin tek dezavantajı af motorunun makinede değilde lenste olması. buda lens seçimini kısıtlıyor ve bu yüzden giriş seviyesinin üzerine bu makine ile çıkmam mümkün değil. alanların memnun kalacağını düşünüyorum.",Olumsuzlama
2 ay önce aldim gayet sik ayakli portati̇f i̇yi̇ de süpürüyor ama çok sesli̇ normal süpürgeleri̇n 2 kati almayi düşünenlere bi̇lgi̇ olsun.,Bağlamsal/Diğer
diyet ölçümü için aldım. fazla birşey beklemeyin derim plastikten yapılma. ufak ölçümler için iş görür ancak. hb hız ve özen için teşekkürler.,Bağlamsal/Diğer
dikkat edilmesi gereken hususular,Kısa Yorum
ütü yaparken çıt çit diye ses geliyor sürekli neden olabilir.aynısından komşu da var onda böyle bi sorun yok,Olumsuzlama
telefonda oyun oynarken milisaniyelik görüntü kasmasi oluyor ve bu bazı oyunlarda sürekli yasanmaktadir. arada grafik geçişlerinde yarim saniyelik olsada gecis donması yaşanmaktadır bu durum art arda olmaktadir. oyun dışında ise arayuzde çok az geçiş donmalari ama göz ardı edilebilir hafif olsada hissediliyor. internet gezinmesinde hızlı fakat internette online oyun oynadığınız da yakınlaştırmak küçükult işlemlerini kareli atlamalar yaparak gerçekleştirmektedir.,Yazım Bozukluğu
"genel anlamda iyi , plastik kokusu yok. ürün görselinde arka paspas bütün görünüyor ama arka paspas 3 parça olarak geldi.",Olumsuzlama
"bıyık sakalı biraz inceltmek istiyorum diyenler için ideal,ağzı dar sakal için çok uğraştırıyor,şarjı zayıfken hiç almıyor,bıyık için ieal",Olumsuzlama
telefonu yaklaşık 3 aydır kullanıyorum bundan önceki telefonum galaxy y idi o telefon bundan daha hızlı çalışıyordu bu telefona bi kaç uygulama yükledikten sonra ççok aşırı derecede kasmaya başlıyor rehberi bile açmakta zzorlanıyor. bunun dışında güzel bir telefon kamerası ffelan yeterli.,Bağlamsal/Diğer
ürün idare eder mahiyettedir ama tirebolu servisine teşekkür ediyorum çok yardımcı oldular,Bağlamsal/Diğer
cansız renkler soluk ton...bunun dışındaki herşey için hepsi buradaya teşekkür,Bağlamsal/Diğer
malzeme kalitesi fiyatıyla tam oranlı.,Bağlamsal/Diğer
cihazı gri olarak sipariş verdim kırmızı renk geldi ne iş,Bağlamsal/Diğer
kucuklugu baslıgı vb ıyı kullanıslı. torbasız olması cıkan kiri gormek acısından cok iyi:),Bağlamsal/Diğer
aaa ne güzel birşeymiş bu diyen arkadaşıma hiç düşünmeden verdim gitti. umarım onun işine yaramıştır.,Olumsuzlama
ürün gayet güzel bir ürün ama ses kalitesi ve seviyesi çok altta kalıyor. biraz daha fiyat verip daha iyi seviyede ses çıkartabilen bir ürün alınmasını tavsiye ederim.,Bağlamsal/Diğer
kekleri kabartamıyor fakat adı üstünde börekleri güzel pişiriyor.kargodan teslim alırken içindeki tepsi hareket halindeydi.içindeki tepsi sabiylenirse daha iyi olur.hepsi buradaya teşekkürler,Yazım Bozukluğu
ürün elime geçen hafta ulaştı.çin malı olduğunu görünce tereddüt ettim.ama kullanınca fikrim değişti.kirişte 10 dan fazla delme işlemi yaptım.markalı ürünlerden performans açısından çokda farkı yok.fiyatına göre iyi.ucları ve makinayı zorlamadan kullanılırsa uzun süre kullanılabilir.bence ;profesyonel bir kalite ve kullanım bekliyorsanız markalı ürünleri tercih edin derim.,Olumsuzlama
çocuğumuzun bezlerini hep buradan aldık. çok memnunduk.,Bağlamsal/Diğer
"işinize yarayacaktır, kilonuzu hergün öğrenerek daha dikkatli olmanızı saglaya bilir bence",Bağlamsal/Diğer
bugün elime geçen aylik 4 ve 5 numaralı bezler iki oğlumda da aynı etkiyi gösterdi hem sızdırdı hem de pişik yapıyor.umarım hemen eski kalitesine geri döner.,Bağlamsal/Diğer
i̇yi bir üründü sorunsuz kullanıyorum..,Bağlamsal/Diğer
"------ kaynatana kadar çok ses cıkarıyor, ve her ısıtma esnasında, daha önce farklı markalardan kullandım sesi biraz fazla, demliği su haznesine göre biraz küçük, demli çay içenlere yetersiz.",Bağlamsal/Diğer
urun 8 gunde elime ulasti. kargolamayi super yapmislar. zarar girmemis. ama avizenin alt kisminda desenlerinde silik ve kaymalar mevcut. kutusunun icinden kurulumla alakali bir tek satir yazi bile cikmadi. ????,Bağlamsal/Diğer
bayide 170tl balans montaj dahil fiyati,Bağlamsal/Diğer
yorumlara bakıp aldım. ben başka bir yerden almıştım ama suan hepsiburada da daha uygun. makinaya gelince. ben günlük traş oluyorum. sabahları jiletle traş olurken çok vakit kaybı oluyor diye bu ürünü aldım. ancak makineyle traş jiletten daha uzun sürüyor. birde jilet kadar sinekkaydi traş pek mümkün değil veya çok ugrasmaniz lazim. ancak uzun sakalı çok iyi alıyor. yani surekli traş olmuyorsaniz bu ürünü onerebilirim. birde şarji uzun gidiyor. çok seyahat ediyorsanız bu önemli bir özellik. biraz büyükçe elde iyi duruyor. sesi biraz rahatsız edici.,Olumsuzlama
talimatlara uyarak yapılan uygulamadan sonra 5000 km geçmesine rağmen,Bağlamsal/Diğer
yüz boyun kısmı için uygun değil alacaklar dikkat etsin,Olumsuzlama
ürünü bir samsung hayranı olarak heyecanla kullanmaya başladık ama bir kaç sorunu söylemeden geçemeyeceğim.,Bağlamsal/Diğer
hep bişeyler eksik çıkıyor zaten.wave 2 daha iyi bence,Bağlamsal/Diğer
ürünü aracımda denedim. sesi sadece aracın sol tarafında ki hoparlörden veriyor. sağ hoparlörden ses çıkmıyor. kablo ile denedim aynı problem ile karşılaşmadım.,Bağlamsal/Diğer
ürünü yuvarlak plakaları çubuklara geçirerek siz hazırlıyorsunuz.,Yazım Bozukluğu
bende sobada yaktım,Kısa Yorum
"ürün fiyat olarak uygun geldi ama yorumlardan tedirgin oldum ve bizzat gözümle görmek için başka yerlerde izlemek istedim. gördüm ki burada yapılan yorumlar doğru, yani görüntü netliği çok iyi değil. bu sebepten ben başka markaya yöneldim ve dışarıda izledim geldim buradan aldım. neden mi uygun fiyat ve hizmet kalitesinden yıllardır hiç rahatsız olmadım. teşekürler hepsiburada.",Olumsuzlama
ön farda çakar yok sadece yanıyor.güzel ışık veriyor.arka farın pil takmak için cam sökülüyor pil zor takılıyor ve yerinden çıkıyor.,Olumsuzlama
telefonu inceledim. flaşı olmaması eksisi ve dokunmatik ekranı biraz daha hassas olaubilir. ama b fiyata bu kadarı da çok iyi... siparişimi veriyorum...,İroni
bu fiyata on numara bi telefon tavsiye ederim ama cok ısınıyor.,Bağlamsal/Diğer
telefon işlemcisi olsun hızı olsun gercekten cok iyi fakat su gibi sarj içiyor gün sonuna kadar sarj dayanması mucize adeta almadan iyi düşünün eger sarj sizin için problem değilse bu telefon harika,Olumsuzlama
"plastik kalitesi ortalama,",Kısa Yorum
arabamın koltuklarını temizlemek için 2 kutu aldım. 1 kutu ancak ön iki koltuğu temizlemek için yeterli oluyor. o nedenle 2 kutu almada fayda var. kullanımı kolay. tavsiye ederim.,Bağlamsal/Diğer
tereddutlerım olmasına ragmen urunu aldım sıparısım gecıkmeden ve hıcbır sorun cıkmadan elıme ulaştı.. suan ben cok memnunum.. evde spor ıcın yapabılecegım en ıyı sonucuda alabılecegım ucuz olan tek mekık aletı.,Bağlamsal/Diğer
fiyatına göre ürün,Kısa Yorum
öyle abartılacak bir ürün kesinlikle degil parasına göre pahalı,Bağlamsal/Diğer
"cihazı hatta takıp kullanmaya başladım, kesinlikle alınabilir, parasını fazlasıyla hak ediyor, sesi ve çekim mesafesi iyi .ev ve iş yerleri için ideal..",Bağlamsal/Diğer
kendimin vardı bi adette hepsiburadadan geçen hafta öğrenci olan oğluma aldım ihtiyaca cevap veriyor tek eksiği yıkanırken bütün yıkamak zorundasınız fiyat olarakta uygun tavsiye ederim.,Bağlamsal/Diğer
ürünün üzerindeki açıklamada suyla yıkanırsa daha etkili olur yazıyor.,Bağlamsal/Diğer
idare eder ayrica blendr in bıçağı ters takılmış kullanmadan servis yolu görünüyor. :)),Bağlamsal/Diğer
daha önceden arzumun çaycı ürününü kullanıyorduk daha sonra bu üründen sipariş verdim. çaydanlık kısmından çay doldurmak tam bir işkenceye dönüştü. her seferinde çay doldururken damlatıyor. bu nedenle yeniden arzum çaycı ürününü kullanmaya devam diyorum.,Bağlamsal/Diğer
önceli̇kle hepsi̇ burada ya teşekkür ederi̇m. hi̇zmet kali̇tesi̇ ve hizli gönderi̇mleri̇ oldukça güzel ve hizli ancak bu ürün problem,Bağlamsal/Diğer
"ürünü 2 gün önce aldım. hepsiburadadan her zaman alışveriş yaparım,çok memnunum. basit bir elektrikli süpürge ararken de hepsiburadayi tercih ettim. makine gerçekten çok şirin,ufak, çekiş gücü çok iyi. gürültülü çalışıyor ,aksamı çok kaliteli gözükmüyor, bu fiyata böyle oluyor herhalde. kullandığım ilk gün kablo toplama sistemi bozuldu. şimdi kablonun yarısı dışarda kalıyor. mecburen servise götürmem gerekecek.",İroni
"dokunmanik ve geniş ekran olması ve kamerası iyi ancak telefonu biraz kurcalayıp internet veya oyun işlerine girince şarjı fazla gitmiyor.. fiyat başka yerde daha uyguna da bulunabiliyor..eşimin geniş ekran ve kamera tercihleri neceniyle aldık, fena birtelfon değil..",Olumsuzlama
