yorum,kategori
"eşim için aldığım parfüm için ı yorum ""tam anlamıyla felaket""",Bağlamsal/Diğer
hi̇ç bi̇r faydasini şuana kadar görmedi̇m. fullemi̇şti̇m depoyu yariya yakindir kullaniyorum fayda hi̇ssetmedi̇m. hatta i̇lk başlarda arabanin depo kismindan tak tak sesler geli̇yordu...korktum,Olumsuzlama
3-ürün fiyatıyla paralellik gösteriyor.beklentinizi cok karşılamayabilir ama bence yeterli.,Yazım Bozukluğu
2-takip cikarmasi sorun yaratmiyo saglam bi yapisi var biraz zorlarsaniz giris bolumleri yirtilabiliyo haberiniz olsun,Bağlamsal/Diğer
öncelikle ben makine mühendisiyim.,Kısa Yorum
arkadaşlar urun güzel aracı parlatıyor ancak aşırı derecede toz topluyor. bulunduğunuz yerde toz vs varsa sıkıntı olacaktır.,Bağlamsal/Diğer
oğlum 17 aylık ve sitede görüp beğendim özellik hakkında detay yok. 1 tane sipariş verdim 10 günde geldi ve çok küçük boyutları yeni doğan bebeklere göre bence,Olumsuzlama
urun guzel gorunuyor. fiyati da gayet ideal. acaba urunu tavsiye eden var mi.kullanipta tavsiye etmek isteyen varsa fikrini alabilir miyim.,Bağlamsal/Diğer
"arkadaşlar ürünü alacak arkadaşlar için öncelikle telefon rehberine kişi kaydedilmiyor google hesabi yada herhangi bir hesaba kaydedilebiliyo kisiler, kameradan cektiginiz resimleri google fotograflardaa gorebiliyosunuz galeri yok,şebeke üzerinden goruntulu konuşma yok skaype yada messenger den goruntulu konuşuluyo, ısınma sorunu da var bi saat oyun oynayin kışın elinizi ısıtır yani bilgilerinize kamerasi güzel ses iyi hızı iyi gerisi boş",Olumsuzlama
bi̇r çok ürün almıştım 6 taksit seçeneğinde kargo bedavaydı ancak fotokopi kağıdı olduğu için bu kampanya dışı olduğu için kargo bedelini tahsil ettiler. bunun dışında ürün gayet iti.,Bağlamsal/Diğer
olumsuz yanları biraz tiz ve yüksek bir sesi var.,Bağlamsal/Diğer
uzun zamandır kullanıyorum. i̇lk sene mükemmel (çevirerek kullanmanız gerek ayakucu-baş kısmı) ikinci sene normal. 2 seneden sonra çökmeler oluyor. şu an 2. senesi doldu benim yavaş yavaş çöpe doğru gidiyor. dönemlik kullanım için öneriyorum. öğrencilik dönemi vs.,Karma Duygu
onu sıkıp filan uğraştık yani,Bağlamsal/Diğer
"merhabalar hızlı gönderi ve ürünün orjinal olması nedeni ile tşkler,",Bağlamsal/Diğer
karanlik sahnelerde ışık sızması yaşıyorum. parlak renklerde sıkıntı yok. ama revenant filmini altyazılı olarak izlerken karanlık sahnelerde altyazıların geçişlerinde cok fazla ışık sızması oldugunu farkettim,Olumsuzlama
"üst sepetin aralıkları çok geniş. öyle ki, büyük boy (ajda) çay bardağı bile aralıklardan rahatça düşebiliyor.",Bağlamsal/Diğer
puanım ağız bakım suyu için ( 0 ) makine ve macun için ( 5 ) yıldız,Bağlamsal/Diğer
ürün siparişimden sonra ertesi gün elime ulaştı ürün güzel ancak iç tarafındaki kenarlara cila atılması gerekiyor. fiyatına göre bence ideal bir ürün.,Bağlamsal/Diğer
"5= uzun süre açık kaldığında soba gibi ısınıyor telefon,",Bağlamsal/Diğer
ürünü 20/12/2013 te saat sabaha karşı 02:30 da şpariş ettim ve jet hızılıyla bir gün sonra elime ulaştı hepsiburadacom.mu bu konuda kutluyor ve teşekkürlerimi sunuyorum.,Yazım Bozukluğu
"tecrübelerimize göre sırf viskodan oluşan yatak, ergonomik değil. şimdi bu visko yatakların 10-15 cmlik şilteli olanlarını alıp yaylı yatağımıza sererek denemeyi düşünüyoruz. umarız bu şekilde viskonun konforuyla yayın desteğini kullanarak kaliteli ve rahat bir uyku uyuyabiliriz.",Olumsuzlama
yavru köpeğim için aldım yüzüne bile bakmadı,Bağlamsal/Diğer
"ürün çok güçlü bir cihaz değil ancak fiyat-performans açısından alınabilecek bir ürün diye düşünerek satın aldım. sorun ise bıçak kısmında biriken kılları temizlemek için çıkarılıp takılabilen plastik bir aparat (her tıraş makinesinde olur). o kadar gevşek ki tıraş olurken bile çok kolay bir şekilde düşebiliyor. henüz ürünü almamın üzerinde iki hafta geçmedi, bir yolculuğum esnasında çantamın içinde bu aparat yine yerinden çıkmış ve bir yerlerde kaybolmuş. garantisi var tabi servise götürüp anlattım durumu. onlar kontrol etti ve ürünün böyle bir yedek parçasının bulunmadığını, makinenin komple çöp olduğunu izah ettiler. ben de paşa paşa anladım anlayacağımı. daha bir iki kere anca kullandığım cihaz hurda oldu, param da boşa gitti.",Olumsuzlama
i̇ddia edildiği gibi her meyveyi bütün sıkamazsınız; çünkü meyve girişi kısmı küçük.,Bağlamsal/Diğer
ürünü burdaki yorumlara bakarak aldım çok faydasını görmedim kızım yine ve yine pişik oldu sanırım ne kadar kaliteli olursa olsun bazı ciltler için uygun olmuyor bezi değiştirdikten sonra düzeldi pişik problemi kızımın,Bağlamsal/Diğer
herkes tv diye aldi yazik monitör bu hdmi girisi ile tv oluyor ama diger girisler yok ne vga ne karasal yayin nede rs232 hic biri yok alacak arakadaslar bunlari göz onunde bulundurarak alsin mutfak icin ideal,Olumsuzlama
ürün gayet kaba ve taş gibi ne geriye yatıyor ne bi rahatlık hissi veriyor. park bankına sünger sermiş gibi oturuyorsunuz. misafir koltuğu olarak iş görebilir ama çalışmak için tavsiye etmem zira bel ağrısı yapar bu uzun oturumlarda.,Bağlamsal/Diğer
"izgara yaptığınız et ve sebzeyi kurutmadan pişirmek konusunda gayet başarılı. i̇ş temizlemeye gelince, alt kapak makinaya giriyor ancak üst kapağın makinaya girmesi için elektrik aksamını sökmek gerekiyor ki bu zahmetli. ayrıca ızgara teli çok kalitesiz. hemen paslandı. ve (ben paslanmasından kaynaklı olduğunu düşünüyorum) ürünler ızgaraya yapışıyor. et ve tavuğu kurtarabiliyorsunuz ama balık parça pinçik oluyor. doğrusu bütün hevesim kaçtı...izgara telinin kalitesinin yükseltilmesi şart görünüyor.",Yazım Bozukluğu
3. cep telefonu için askı kollarına hazne yapılabilirdi.,Bağlamsal/Diğer
kız arkadaşıma almıştım ama ilk kullanımında fazla ağırlık olmamasına rağmen ayaklarından birisi kirildi ve kiz arkadaşım koca valizi sürüklemek zorunda kaldı.hal böyle olunca plastik kısım surunmekten eridi.umarim garanti kapsamindan onarilir.,Bağlamsal/Diğer
"ben saç ve sakal için makine arıyordum. aslında doğru kategorideyim (philips saç sakal temizleme) ama bu sadece sakal için herhalde gelen kutunun üzerinde hiç saç ibaresi yer almıyor. ancak biz hem saç da hemde sakal da denedik makineyi hiç birinde sıfırdan almıyor. sadece gür sakal ve saç kısaltmak için ideal gibi, gibi..",Olumsuzlama
annem için aldım telefonu ideal anne telefonu tam istenildigi gibi arama ve sms,Bağlamsal/Diğer
kurulum için yollanan kağıt parçasından herşey yazmıyor iki mühendis bir torna vidayla ıkı saate yaptık ufak parçaları birleştirip tüm haline getirdik. bu fiyata anca bu alınır dedik bir daha alırmıyım sanmıyorum.,Bağlamsal/Diğer
ürün güzel görünüyor. yalnız boyu biraz uzun. kargo 3 günde geldi fakat ya bebek arabasının bi kullanma kılavuzu olmaz ya paketten çıkmadı.,Olumsuzlama
ürünün elime ulaştığı gün şişirip outdoor sahada 1 saat oynadıktan sonra top tamamen tozla kaplandı ve elimden kaymaya başladı. ayrıca üstündeki siyah çizgiler yer yer silindi. kısacası outdoor saha kullanımı için uygun değildir.,Olumsuzlama
biraz sesli çalışıyor anlatıldığı kadar sessiz değil.benim gibi apartmanda oturanlar bir daha düşünmeli aldım komşulardan utandığımdan kullanamadım.onun dışında iyi.iş yapacak bir cihaz.,Olumsuzlama
"cok yogun kullanmamama rağmen sarji 1 gunu tamamlamiyor 2300 mah batarya yetersiz kalmis,onun disindaki ozellikleri iyi.",Bağlamsal/Diğer
"bu kadar para verip telefon alan kişi zaten 1 bilemedin 2 senede bir sıkılıp telefon değiştiriyor. çok sağlam olsa ne yazar, kurşun geçirmez olsa ne yazar. bu süreye günümüz telefonlarının hepsi dayanıyor. xperia z0 dan beri aynı kibrit kutusundan esinlenilmiş odunsu tasarım.. donanım desen sanki uzaya çıkacaksın telefonla ne yapacaksın bu göz boyamaları. git 1000tl'ye xperia xa al hem daha ucuz hem de daha şık telefon. ama bu paralar verilecekse alınacak en güzel telefon s7 edge'dir bence.(note 7 sorunlu olmasaydı o olurdu) önceden xperia z5 premium kullanan biri olarak bunu bilir bunu söylerim.",Bağlamsal/Diğer
ürün elime ulaştı. cidden harika ama kulaklık girişi olmayışı bir eksiktir. kulaklık var ama fm radyo yok.,Olumsuzlama
20000 mah gerçeği yansıtmıyor. bu ixaomi değil bütün taşınabilir şarj aletleri için geçerli. ıphone 6 nın pili 1560mah. bu hesaba göre ıphone 6 yı 12 kez şarj etmesi gerek ama özelliklerinde 7 yazıyor. yani bu cihaz 20000 mah değil. 1tb diye aldığınız hdd yi bilgisayarın 920gb görmesi gibi bişey bu. buda badsector deniliyor. ama taşınabilir şarj aletlerinde çok fazla far yaratıyor 12 nerede 7 nerede yarısı kadar hemen hemen.,Olumsuzlama
"ürünü aldım. hevesle volte( hd görüşme) özelliğini aktif etmek istedim. ancak, ayarlarda tüm gördüğüm s6'larda olan gelişmiş arama seçeneklerinin olmadığını gördüm. gsm operatörünü aradım. süpri̇z!! telfon volte uyumlu değilmiş. araştırmalarım sonucunda birleşik arap emirliklerinden gelen telefonlarda bazı özelliklerin kapalı olabileceğini öğrendim. samsung tarafından yayınlanan başka bir resmi frimware yüklenincede sorunun düzelmeyeceğini öğrendim. bu sorun dışında ürün iyi takdirlerinize bırakıyorum.",Olumsuzlama
kargo 2 günde geldi. ancak ürünün kendi ambalajı olmamasından kaynaklı tereddüt yaşadım. çünkü ambalajda üretim yılı yazmaktadır. amabalajı olmaması nedeniyle üreteim yılını öğrenemedim. burada 2016 yazıyor ancak nasıl inanabilirimki ? gelelim ürün kullanımına; tankımda 20 litre dizel yakıt vardı. 300 ml hepsini ekledim.sonuç değişen birşey hissetmedim. araç seat ibiza *2006. 125 bin km.,Olumsuzlama
ürünün güzel,Kısa Yorum
bilgisayara bağlayıp samsung kies den güncelleme yapmayın sakin !!! türkçe dil desteğini kaybedersiniz.,Bağlamsal/Diğer
daha önce farklı bir ürün kullanmıştım güzeldi fakat bunda istediğim gibi ayarlayamdım heryere dönmüyor.,Bağlamsal/Diğer
tmek için eşeleniyor buda poşete zarar veriyor......,Bağlamsal/Diğer
"yazarın dili diğer yorumcuların belirttiği gibi akıcı değil. olaylar ilişkiler çok hızlı geçilmiş, basit havada kalan bir anlatım ortaya çıkmış. tarihle ilgisi olmayanlar kitabı beğenebilir. ancak bu konulara ilgi duyarak , yavuz dönemini bilen okuyuculara kitap basit bir ilkokul okuma kitabı gibi gelecektir. i̇nsan okurken ""ben bile yazarım bu kitabı"" duygusuna kapılıyor. belkide ""i̇skender pala"" nın kitaplarından sonra böyle geliyor. onu bilemedim.",Olumsuzlama
bu ürün gerçek selpak kalitesinden biraz uzak. topak topak oluyor kullanınca. buda bir çok kişiyi rahatsız eder diye tahmin ediyorum. kokusuna gelince belli bir süre sonra kayboluyor. dedimya alıştığım selpak kalitesi değil.,Olumsuzlama
i̇şi̇ bi̇tti̇ği̇nde di̇rek çöpe yani̇ kullan at yazici.,Bağlamsal/Diğer
çin ihraç mal programlarda uymsuzluk var,Bağlamsal/Diğer
oyunumu sipariş olarak cumartesi günü verdim hayla gelmedi,Bağlamsal/Diğer
bardağa çay koyarken çay parçaları da geliyor.,Bağlamsal/Diğer
ürün eli̇mi̇ze geçti̇ği̇nde baktik ki̇ kri̇stalleri̇ eksi̇k ama ürün hoş duruyor alinabi̇li̇r,Bağlamsal/Diğer
isınıyor. kışın fişe taktından 40 dakika sonra cep sobası yeine kullanabilirsiniz... çok hızlı şarj ettiği de söylenemez. gerçi orjinali de böyle. yapacak birşey yok..,Olumsuzlama
ürün işe yarıyor ama kaliteli diyemem,Bağlamsal/Diğer
"pozi̇ti̇f taraflari:ürün 2 gün i̇çi̇nde eli̇me geçti̇,1 saatte şarj oldu,pi̇li̇ li̇-i̇on,i̇lk şrjdan sonra 50 dak. çalişti,sakal kisaltma aparati düzgün kesi̇yor",Bağlamsal/Diğer
aynı hikâyeyi hem başından hem sonundan okumuş gibi oluyorsunuz sadece seriyi bitirdigim için kitabın bittiği yer çok askıda kalıyor aklımda kalmasın diye almıştım idare eder,Bağlamsal/Diğer
"sokak hayvanlarinin çöp yediklerini dusunecek olursak bu mama onlar icin idare eder ama asla ve asla evinizdeki veya devamli beslediginiz canlilara vermeyin,kalitesi orta seviyede bile degil,fiyat avantaji dolayisi ile barinaklara toplu alip bagisliyorum,sadece o ise yarar.",Yazım Bozukluğu
almayı düşünenleri uyarmak açısından söylüyorum.ürün açıklamasında 3g özelliğinin olmadığı yazıyor.her yönüyle harika olan bu ürün 3g özelliği olmadığından dolayı kaybediyor.,Olumsuzlama
arkadaşlar almayı düşünüpte kararsız kalan varsa tereddüt etmeden alabilir. ürün mükemmel ötesi birşey harika traş ediyor ve temizleme ünitesi süper çalışıyor.,Bağlamsal/Diğer
2-resimde görünen şekilde geliyor,Kısa Yorum
ürün için ise sahte olmamasını diliyorum.,Bağlamsal/Diğer
"mucize beklenmemesi gereken bir ürün, ama hiç bir faydası yok denemez. düzenli kullanıldığından en azından günde 1 fincan faydalı oluyor. tadıda gayet lezzetli öyle bitki çayları gibi itici değil, şekerli güzel bir lezzeti var.",Olumsuzlama
"- merdivenin üst kısmı çok tehlikeli, çocuk çok sert düşebilir. gözünüz sürekli üstünde olması lazım.",Bağlamsal/Diğer
i̇lk geldiğinde cok güzel parlak tası vardı zamanla parlaklığı kayboldu,Bağlamsal/Diğer
parfümlü olması hoş ama zımpara kağıdı gibi.....,Bağlamsal/Diğer
"dymo letratag etiket makinası kullanıyorsanız, doğal olarak bu orjial etiket çeşitlerini kullanacaksınız. yapışkanı çok kaliteli... tüm plastik renk çeşitlerini tullanıyorum. ancak; makinayla birlikte gelen beyaz kağıt şeriti çok sevdim.",Yazım Bozukluğu
ürünü bütün çekmeceler i̇çi̇n aldim. 2 ay çok rahat etmi̇şti̇m. artik oğluşum nasil açilacağini keşfetti̇. di̇şi̇yle çok güzel ucundan tutup açabi̇li̇yor.. keşke hemen açilan bi̇r ürün olmasaydi..,Bağlamsal/Diğer
sephorada 2 kere denedim.inanın kalıcılığı o kadar kuvvetliki 15 günden fazla dolabımı her açışımda montum kokuyor ve ben bayılacak gibi oluyordum.şeker dozajını aşmış.arabada arkadaşım sıkmıştı ve midem başım felaket oldu.angel kullanıyorum o daha hoş,Bağlamsal/Diğer
umduğum gibi uzun menzili yok. ev için ideal..,Olumsuzlama
fiyatı azalır diye beklerken artıyor...,Bağlamsal/Diğer
"başka ürün sipariş verirken, bir de yedek şarj aleti alayım diye fazla incelemeden sepete dahil ettiğim bir üründü. sitedeki en orijinal görünen ürün de bu olduğu için tercih etmiştim. açıklamasında c ve a tipi usb şeklinde açıklama verilmiş, iki taraflı kullanılabilen diye ancak; note 5 e uymadı. dikkatli incelemek gerek ve herkesin anlayacağı terimler değil bunlar. o sebeple alırken açıklamasına dikkat edin. ama ürün kesinlikle orijinal.",Olumsuzlama
hızı stabil tutmuyor hız düşüşü yaşanıyor belirli aralıklarla modemi açıp kapatmak gerekiyor. nadirde olsa kopma sorunu da var.,Bağlamsal/Diğer
en iyisi 3 gün çalıştı hemen bozuldu,Bağlamsal/Diğer
"ürün öncelikle fiyatına göre iyi, çekişi güzel ancak sesi gerçekten çok fazla sanayi tipi süpürgeler kadar ses çıkartıyor maalesef, bunun haricinde gayet kullanışlı bir ürün.",Bağlamsal/Diğer
iki seferdir aynı ürünü alıyoruz. 1 yılı dolunca cihazın içi yanıyor. biz yandık siz yanmayın.,Bağlamsal/Diğer
- yumusak olduğu icin cabuk deforme oldu henüz 1000 km yaptım :(,Bağlamsal/Diğer
"sesi eski radyo gibi sanki çok boğuk , görüntü canlı ve net",Bağlamsal/Diğer
"koku birazcık agır gibi ama bu fiyat uygun bir fiyat bence, kaçırılmaması gerek.",Bağlamsal/Diğer
kamera cikintili olmus.bu nedenle cizilme riski yuksek.haricen iyi.alinabilir.,Bağlamsal/Diğer
sade ve şik ve i̇nce tasarimiyla di̇kkat çeki̇yor. fakat bu fi̇yata bu performans kiyaslanamaz.,Bağlamsal/Diğer
"giriş seviyesi için gerçekten üstün özelliklere sahip bir makine. kullanmaktan zevk alınacak bir ürün, lensinin 18-105mm gibi açık aralıklı olması genel kullanım için uygun. bu tip makinelerin tek dezavantajı af motorunun makinede değilde lenste olması. buda lens seçimini kısıtlıyor ve bu yüzden giriş seviyesinin üzerine bu makine ile çıkmam mümkün değil. alanların memnun kalacağını düşünüyorum.",Olumsuzlama
2 ay önce aldim gayet sik ayakli portati̇f i̇yi̇ de süpürüyor ama çok sesli̇ normal süpürgeleri̇n 2 kati almayi düşünenlere bi̇lgi̇ olsun.,Bağlamsal/Diğer
ürün geç geldi ayrica çıt çıt kismi da ayrilmisti,Bağlamsal/Diğer
fiyatının hakkını veremiyor. başka model yada markalara yönelmenizi tavsiye ederim.,Bağlamsal/Diğer
"döşemeci̇ye taktirdiğim halde vectra c de potluk yapti, arka kemerler kullanilmaz hale geldi̇ kesti̇rmek durumunda kaldim",Bağlamsal/Diğer
dikkat edilmesi gereken hususular,Kısa Yorum
ütü yaparken çıt çit diye ses geliyor sürekli neden olabilir.aynısından komşu da var onda böyle bi sorun yok,Olumsuzlama
ürün gerçek deri olmadığı gibi her direksiyona da uymuyor. çap olarak uysa da kalınlığı fazla olan direksiyonlarda iki ucu birleşmediği için güzel durmuyor.,Olumsuzlama
fotoğraflarda gösterdikleri gibi parlaklık vermiyor. sürdükten 1 kaç saat sonra matlaşıyor,Bağlamsal/Diğer
telefonda oyun oynarken milisaniyelik görüntü kasmasi oluyor ve bu bazı oyunlarda sürekli yasanmaktadir. arada grafik geçişlerinde yarim saniyelik olsada gecis donması yaşanmaktadır bu durum art arda olmaktadir. oyun dışında ise arayuzde çok az geçiş donmalari ama göz ardı edilebilir hafif olsada hissediliyor. internet gezinmesinde hızlı fakat internette online oyun oynadığınız da yakınlaştırmak küçükult işlemlerini kareli atlamalar yaparak gerçekleştirmektedir.,Yazım Bozukluğu
"lg tvlerin garantisi bitince arıza yapıyor, iki tane lg aldım. i̇kisinden de garanti bitti arıza yaptı.",Bağlamsal/Diğer
telefonu yaklaşık 3 aydır kullanıyorum bundan önceki telefonum galaxy y idi o telefon bundan daha hızlı çalışıyordu bu telefona bi kaç uygulama yükledikten sonra ççok aşırı derecede kasmaya başlıyor rehberi bile açmakta zzorlanıyor. bunun dışında güzel bir telefon kamerası ffelan yeterli.,Bağlamsal/Diğer
ürün idare eder mahiyettedir ama tirebolu servisine teşekkür ediyorum çok yardımcı oldular,Bağlamsal/Diğer
cansız renkler soluk ton...bunun dışındaki herşey için hepsi buradaya teşekkür,Bağlamsal/Diğer
malzeme kalitesi fiyatıyla tam oranlı.,Bağlamsal/Diğer
cihazı gri olarak sipariş verdim kırmızı renk geldi ne iş,Bağlamsal/Diğer
kucuklugu baslıgı vb ıyı kullanıslı. torbasız olması cıkan kiri gormek acısından cok iyi:),Bağlamsal/Diğer
aaa ne güzel birşeymiş bu diyen arkadaşıma hiç düşünmeden verdim gitti. umarım onun işine yaramıştır.,Olumsuzlama
ürün gayet güzel bir ürün ama ses kalitesi ve seviyesi çok altta kalıyor. biraz daha fiyat verip daha iyi seviyede ses çıkartabilen bir ürün alınmasını tavsiye ederim.,Bağlamsal/Diğer
kaliteden taviz vermişler,Kısa Yorum
2.kamera özelliği olsa da olur olmasa da mantığında yapılmış.harici bir odak tuşu yok.resimler genel olarak kalitesiz,Olumsuzlama
"yazarın dilinin de abartılmaması gerekiyor. en basitinden bir eli anlatırken 5 paragraf okuyabiliyorsunuz.fakat ""aksiyon"" sahnesi sayılabilecek yerde güzel betimleme yapılmamış. yazar kendini o kadar çok fazla duygu betimlemesi yapmaya odaklanmış ki dış dünyayı betimlemeyi unutmuş gibiydi.",Yazım Bozukluğu
ürün elime geçen hafta ulaştı.çin malı olduğunu görünce tereddüt ettim.ama kullanınca fikrim değişti.kirişte 10 dan fazla delme işlemi yaptım.markalı ürünlerden performans açısından çokda farkı yok.fiyatına göre iyi.ucları ve makinayı zorlamadan kullanılırsa uzun süre kullanılabilir.bence ;profesyonel bir kalite ve kullanım bekliyorsanız markalı ürünleri tercih edin derim.,Olumsuzlama
çocuğumuzun bezlerini hep buradan aldık. çok memnunduk.,Bağlamsal/Diğer
"işinize yarayacaktır, kilonuzu hergün öğrenerek daha dikkatli olmanızı saglaya bilir bence",Bağlamsal/Diğer
bugün elime geçen aylik 4 ve 5 numaralı bezler iki oğlumda da aynı etkiyi gösterdi hem sızdırdı hem de pişik yapıyor.umarım hemen eski kalitesine geri döner.,Bağlamsal/Diğer
i̇yi bir üründü sorunsuz kullanıyorum..,Bağlamsal/Diğer
urun 8 gunde elime ulasti. kargolamayi super yapmislar. zarar girmemis. ama avizenin alt kisminda desenlerinde silik ve kaymalar mevcut. kutusunun icinden kurulumla alakali bir tek satir yazi bile cikmadi. ????,Bağlamsal/Diğer
bayide 170tl balans montaj dahil fiyati,Bağlamsal/Diğer
yorumlara bakıp aldım. ben başka bir yerden almıştım ama suan hepsiburada da daha uygun. makinaya gelince. ben günlük traş oluyorum. sabahları jiletle traş olurken çok vakit kaybı oluyor diye bu ürünü aldım. ancak makineyle traş jiletten daha uzun sürüyor. birde jilet kadar sinekkaydi traş pek mümkün değil veya çok ugrasmaniz lazim. ancak uzun sakalı çok iyi alıyor. yani surekli traş olmuyorsaniz bu ürünü onerebilirim. birde şarji uzun gidiyor. çok seyahat ediyorsanız bu önemli bir özellik. biraz büyükçe elde iyi duruyor. sesi biraz rahatsız edici.,Olumsuzlama
talimatlara uyarak yapılan uygulamadan sonra 5000 km geçmesine rağmen,Bağlamsal/Diğer
"oldukça sıradan bir ürün, parlatmadan temizliyor. ekstra bir temizlik sağladığını çok fazla da anlamadım doğrusu. i̇natçı kirlerde başarılı olabilecek bir ürün. ama genel ve normal bir temizlik için kullanabilirsiniz.",Yazım Bozukluğu
ürünü bir samsung hayranı olarak heyecanla kullanmaya başladık ama bir kaç sorunu söylemeden geçemeyeceğim.,Bağlamsal/Diğer
hep bişeyler eksik çıkıyor zaten.wave 2 daha iyi bence,Bağlamsal/Diğer
ürünü aracımda denedim. sesi sadece aracın sol tarafında ki hoparlörden veriyor. sağ hoparlörden ses çıkmıyor. kablo ile denedim aynı problem ile karşılaşmadım.,Bağlamsal/Diğer
bende sobada yaktım,Kısa Yorum
